timestamp,event,setup_id,ticket,ea_version,symbol,timeframe,direction,lot,entry_price,close_price,profit,exit_reason,mindset
2025.02.03 01:11:47,OPEN,XAUUSDg_PERIOD_M5_20250203_0110_SELL_888999,2,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,2782.51,0.00,0.00,,READY_TO_BREAKOUT
2025.02.03 01:56:24,CLOSE,XAUUSDg_PERIOD_M5_20250203_0110_SELL_888999,3,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,0.00,2781.18,13.30,EA_CLOSE,
2025.02.03 01:56:25,OPEN,XAUUSDg_PERIOD_M5_20250203_0155_SELL_888999,4,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,2780.53,0.00,0.00,,READY_TO_BREAKOUT
2025.02.03 01:56:39,CLOSE,XAUUSDg_PERIOD_M5_20250203_0155_SELL_888999,5,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,0.00,2778.97,15.60,EA_CLOSE,
2025.02.03 01:56:40,OPEN,XAUUSDg_PERIOD_M5_20250203_0155_SELL_888999,6,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,2778.16,0.00,0.00,,READY_TO_BREAKOUT
2025.02.03 02:38:40,CLOSE,XAUUSDg_PERIOD_M5_20250203_0155_SELL_888999,7,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,0.00,2776.28,18.80,EA_CLOSE,
2025.02.03 02:38:43,OPEN,XAUUSDg_PERIOD_M5_20250203_0235_SELL_888999,8,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,2775.47,0.00,0.00,,READY_TO_BREAKOUT
2025.02.03 03:36:30,CLOSE,XAUUSDg_PERIOD_M5_20250203_0235_SELL_888999,9,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,0.00,2774.57,9.10,EA_CLOSE,
2025.02.03 03:36:43,OPEN,XAUUSDg_PERIOD_M5_20250203_0335_SELL_888999,10,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,2773.34,0.00,0.00,,READY_TO_BREAKOUT
2025.02.03 08:22:03,OPEN,XAUUSDg_PERIOD_M5_20250203_0335_SELL_888999,11,fix4,XAUUSDg,PERIOD_M5,BUY,0.20,2795.80,0.00,0.00,,READY_TO_BREAKOUT
2025.02.03 14:48:38,CLOSE,XAUUSDg_PERIOD_M5_20250203_0335_SELL_888999,12,fix4,XAUUSDg,PERIOD_M5,SELL,0.20,0.00,2823.65,556.80,EA_CLOSE,
2025.02.03 14:48:38,CLOSE,XAUUSDg_PERIOD_M5_20250203_0335_SELL_888999,13,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,0.00,2824.36,-510.30,EA_CLOSE,
2025.02.03 14:48:39,OPEN,XAUUSDg_PERIOD_M5_20250203_1445_BUY_888999,14,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,2824.30,0.00,0.00,,READY_TO_BREAKOUT
2025.02.03 14:50:10,CLOSE,XAUUSDg_PERIOD_M5_20250203_1445_BUY_888999,15,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,0.00,2826.01,17.10,EA_CLOSE,
2025.02.03 14:50:10,OPEN,XAUUSDg_PERIOD_M5_20250203_1450_BUY_888999,16,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,2826.91,0.00,0.00,,READY_TO_BREAKOUT
2025.02.03 14:51:10,CLOSE,XAUUSDg_PERIOD_M5_20250203_1450_BUY_888999,17,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,0.00,2828.65,17.30,EA_CLOSE,
2025.02.03 14:51:10,OPEN,XAUUSDg_PERIOD_M5_20250203_1450_BUY_888999,18,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,2829.24,0.00,0.00,,READY_TO_BREAKOUT
2025.02.04 13:22:03,CLOSE,XAUUSDg_PERIOD_M5_20250203_1450_BUY_888999,19,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,0.00,2830.47,12.30,EA_CLOSE,
2025.02.04 13:22:03,OPEN,XAUUSDg_PERIOD_M5_20250204_1320_BUY_888999,20,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,2830.91,0.00,0.00,,READY_TO_BREAKOUT
2025.02.04 13:23:59,CLOSE,XAUUSDg_PERIOD_M5_20250204_1320_BUY_888999,21,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,0.00,2832.53,16.20,EA_CLOSE,
2025.02.04 13:24:00,OPEN,XAUUSDg_PERIOD_M5_20250204_1320_BUY_888999,22,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,2832.76,0.00,0.00,,READY_TO_BREAKOUT
2025.02.04 13:28:55,CLOSE,XAUUSDg_PERIOD_M5_20250204_1320_BUY_888999,23,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,0.00,2834.01,12.50,EA_CLOSE,
2025.02.04 13:28:55,OPEN,XAUUSDg_PERIOD_M5_20250204_1325_BUY_888999,24,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,2834.55,0.00,0.00,,READY_TO_BREAKOUT
2025.02.04 13:30:35,CLOSE,XAUUSDg_PERIOD_M5_20250204_1325_BUY_888999,25,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,0.00,2835.38,8.20,EA_CLOSE,
2025.02.04 13:30:35,OPEN,XAUUSDg_PERIOD_M5_20250204_1330_BUY_888999,26,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,2835.76,0.00,0.00,,READY_TO_BREAKOUT
2025.02.04 14:29:06,CLOSE,XAUUSDg_PERIOD_M5_20250204_1330_BUY_888999,27,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,0.00,2836.89,11.30,EA_CLOSE,
2025.02.04 14:29:06,OPEN,XAUUSDg_PERIOD_M5_20250204_1425_BUY_888999,28,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,2837.68,0.00,0.00,,READY_TO_BREAKOUT
2025.02.04 14:32:40,CLOSE,XAUUSDg_PERIOD_M5_20250204_1425_BUY_888999,29,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,0.00,2838.61,9.30,EA_CLOSE,
2025.02.04 14:32:41,OPEN,XAUUSDg_PERIOD_M5_20250204_1430_BUY_888999,30,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,2839.16,0.00,0.00,,READY_TO_BREAKOUT
2025.02.04 14:40:40,CLOSE,XAUUSDg_PERIOD_M5_20250204_1430_BUY_888999,31,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,0.00,2840.54,13.70,EA_CLOSE,
2025.02.04 14:40:40,OPEN,XAUUSDg_PERIOD_M5_20250204_1440_BUY_888999,32,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,2840.99,0.00,0.00,,READY_TO_BREAKOUT
2025.02.04 15:01:32,CLOSE,XAUUSDg_PERIOD_M5_20250204_1440_BUY_888999,33,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,0.00,2842.09,11.00,EA_CLOSE,
2025.02.04 15:01:33,OPEN,XAUUSDg_PERIOD_M5_20250204_1500_BUY_888999,34,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,2843.30,0.00,0.00,,READY_TO_BREAKOUT
2025.02.04 15:34:17,CLOSE,XAUUSDg_PERIOD_M5_20250204_1500_BUY_888999,35,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,0.00,2844.80,15.00,EA_CLOSE,
2025.02.04 15:34:17,OPEN,XAUUSDg_PERIOD_M5_20250204_1530_BUY_888999,36,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,2845.22,0.00,0.00,,READY_TO_BREAKOUT
2025.02.05 01:16:01,CLOSE,XAUUSDg_PERIOD_M5_20250204_1530_BUY_888999,37,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,0.00,2846.45,12.30,EA_CLOSE,
2025.02.05 01:36:01,OPEN,XAUUSDg_PERIOD_M5_20250205_0135_SELL_888999,38,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,2840.20,0.00,0.00,,READY_TO_BREAKOUT
2025.02.05 02:06:10,OPEN,XAUUSDg_PERIOD_M5_20250205_0135_SELL_888999,39,fix4,XAUUSDg,PERIOD_M5,BUY,0.20,2848.70,0.00,0.00,,READY_TO_BREAKOUT
2025.02.05 08:02:52,CLOSE,XAUUSDg_PERIOD_M5_20250205_0135_SELL_888999,40,fix4,XAUUSDg,PERIOD_M5,SELL,0.20,0.00,2864.20,310.00,EA_CLOSE,
2025.02.05 08:02:52,CLOSE,XAUUSDg_PERIOD_M5_20250205_0135_SELL_888999,41,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,0.00,2864.70,-245.00,EA_CLOSE,
2025.02.05 08:02:52,OPEN,XAUUSDg_PERIOD_M5_20250205_0800_BUY_888999,42,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,2864.78,0.00,0.00,,READY_TO_BREAKOUT
2025.02.05 08:26:54,CLOSE,XAUUSDg_PERIOD_M5_20250205_0800_BUY_888999,43,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,0.00,2865.99,12.10,EA_CLOSE,
2025.02.05 08:26:55,OPEN,XAUUSDg_PERIOD_M5_20250205_0825_BUY_888999,44,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,2866.41,0.00,0.00,,READY_TO_BREAKOUT
2025.02.05 08:42:47,CLOSE,XAUUSDg_PERIOD_M5_20250205_0825_BUY_888999,45,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,0.00,2867.76,13.40,EA_CLOSE,
2025.02.05 08:42:48,OPEN,XAUUSDg_PERIOD_M5_20250205_0840_BUY_888999,46,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,2868.20,0.00,0.00,,READY_TO_BREAKOUT
2025.02.05 09:25:35,CLOSE,XAUUSDg_PERIOD_M5_20250205_0840_BUY_888999,47,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,0.00,2869.99,17.90,EA_CLOSE,
2025.02.05 09:25:37,OPEN,XAUUSDg_PERIOD_M5_20250205_0925_BUY_888999,48,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,2870.55,0.00,0.00,,READY_TO_BREAKOUT
2025.02.05 09:43:36,CLOSE,XAUUSDg_PERIOD_M5_20250205_0925_BUY_888999,49,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,0.00,2871.66,11.10,EA_CLOSE,
2025.02.05 09:43:37,OPEN,XAUUSDg_PERIOD_M5_20250205_0940_BUY_888999,50,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,2872.20,0.00,0.00,,READY_TO_BREAKOUT
2025.02.05 10:32:03,CLOSE,XAUUSDg_PERIOD_M5_20250205_0940_BUY_888999,51,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,0.00,2873.41,12.10,EA_CLOSE,
2025.02.05 10:32:03,OPEN,XAUUSDg_PERIOD_M5_20250205_1030_BUY_888999,52,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,2873.93,0.00,0.00,,READY_TO_BREAKOUT
2025.02.05 10:34:38,CLOSE,XAUUSDg_PERIOD_M5_20250205_1030_BUY_888999,53,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,0.00,2875.41,14.70,EA_CLOSE,
2025.02.05 10:34:38,OPEN,XAUUSDg_PERIOD_M5_20250205_1030_BUY_888999,54,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,2875.95,0.00,0.00,,READY_TO_BREAKOUT
2025.02.05 15:40:43,CLOSE,XAUUSDg_PERIOD_M5_20250205_1030_BUY_888999,55,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,0.00,2876.99,10.50,EA_CLOSE,
2025.02.05 15:40:44,OPEN,XAUUSDg_PERIOD_M5_20250205_1540_BUY_888999,56,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,2877.49,0.00,0.00,,READY_TO_BREAKOUT
2025.02.05 15:46:14,CLOSE,XAUUSDg_PERIOD_M5_20250205_1540_BUY_888999,57,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,0.00,2878.61,11.20,EA_CLOSE,
2025.02.05 15:46:14,OPEN,XAUUSDg_PERIOD_M5_20250205_1545_BUY_888999,58,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,2878.82,0.00,0.00,,READY_TO_BREAKOUT
2025.02.05 15:51:21,CLOSE,XAUUSDg_PERIOD_M5_20250205_1545_BUY_888999,59,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,0.00,2880.70,18.70,EA_CLOSE,
2025.02.05 15:51:21,OPEN,XAUUSDg_PERIOD_M5_20250205_1550_BUY_888999,60,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,2881.22,0.00,0.00,,READY_TO_BREAKOUT
2025.02.06 07:00:02,OPEN,XAUUSDg_PERIOD_M5_20250205_1550_BUY_888999,61,fix4,XAUUSDg,PERIOD_M5,SELL,0.20,2858.16,0.00,0.00,,READY_TO_BREAKOUT
2025.02.07 15:07:57,OPEN,XAUUSDg_PERIOD_M5_20250205_1550_BUY_888999,62,fix4,XAUUSDg,PERIOD_M5,BUY,0.40,2880.03,0.00,0.00,,READY_TO_BREAKOUT
2025.02.07 17:00:45,OPEN,XAUUSDg_PERIOD_M5_20250205_1550_BUY_888999,63,fix4,XAUUSDg,PERIOD_M5,SELL,0.80,2858.24,0.00,0.00,,READY_TO_BREAKOUT
2025.02.10 05:07:43,OPEN,XAUUSDg_PERIOD_M5_20250205_1550_BUY_888999,64,fix4,XAUUSDg,PERIOD_M5,BUY,1.08,2880.09,0.00,0.00,,READY_TO_BREAKOUT
2025.02.10 23:45:04,CLOSE,XAUUSDg_PERIOD_M5_20250205_1550_BUY_888999,65,fix4,XAUUSDg,PERIOD_M5,SELL,1.08,0.00,2919.72,4280.04,EA_CLOSE,
2025.02.10 23:45:04,CLOSE,XAUUSDg_PERIOD_M5_20250205_1550_BUY_888999,66,fix4,XAUUSDg,PERIOD_M5,BUY,0.80,0.00,2920.60,-4988.80,EA_CLOSE,
2025.02.10 23:45:04,CLOSE,XAUUSDg_PERIOD_M5_20250205_1550_BUY_888999,67,fix4,XAUUSDg,PERIOD_M5,SELL,0.40,0.00,2920.05,1600.40,EA_CLOSE,
2025.02.10 23:45:04,CLOSE,XAUUSDg_PERIOD_M5_20250205_1550_BUY_888999,68,fix4,XAUUSDg,PERIOD_M5,BUY,0.20,0.00,2920.70,-1250.80,EA_CLOSE,
2025.02.10 23:45:04,CLOSE,XAUUSDg_PERIOD_M5_20250205_1550_BUY_888999,69,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,0.00,2920.20,389.80,EA_CLOSE,
2025.02.11 01:09:33,OPEN,XAUUSDg_PERIOD_M5_20250211_0105_BUY_888999,70,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,2925.18,0.00,0.00,,READY_TO_BREAKOUT
2025.02.11 01:11:25,CLOSE,XAUUSDg_PERIOD_M5_20250211_0105_BUY_888999,71,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,0.00,2926.51,13.30,EA_CLOSE,
2025.02.11 01:11:26,OPEN,XAUUSDg_PERIOD_M5_20250211_0110_BUY_888999,72,fix4,XAUUSDg,PERIOD_M5,BUY,0.10,2927.08,0.00,0.00,,READY_TO_BREAKOUT
2025.02.11 01:12:01,CLOSE,XAUUSDg_PERIOD_M5_20250211_0110_BUY_888999,73,fix4,XAUUSDg,PERIOD_M5,SELL,0.10,0.00,2929.36,22.80,EA_CLOSE,
2025.02.11 01:12:01,OPEN,XAUUSDg_PERIOD_M5_20250211_0110_BUY_888999,74,fix4,XAUUSDg,PERIOD_M5,BUY,0.11,2930.07,0.00,0.00,,READY_TO_BREAKOUT
2025.02.11 01:15:16,CLOSE,XAUUSDg_PERIOD_M5_20250211_0110_BUY_888999,75,fix4,XAUUSDg,PERIOD_M5,SELL,0.11,0.00,2931.53,16.06,EA_CLOSE,
2025.02.11 01:15:17,OPEN,XAUUSDg_PERIOD_M5_20250211_0115_BUY_888999,76,fix4,XAUUSDg,PERIOD_M5,BUY,0.11,2932.15,0.00,0.00,,READY_TO_BREAKOUT
2025.02.11 01:52:43,CLOSE,XAUUSDg_PERIOD_M5_20250211_0115_BUY_888999,77,fix4,XAUUSDg,PERIOD_M5,SELL,0.11,0.00,2933.59,15.84,EA_CLOSE,
2025.02.11 01:52:44,OPEN,XAUUSDg_PERIOD_M5_20250211_0150_BUY_888999,78,fix4,XAUUSDg,PERIOD_M5,BUY,0.11,2934.10,0.00,0.00,,READY_TO_BREAKOUT
2025.02.11 01:53:16,CLOSE,XAUUSDg_PERIOD_M5_20250211_0150_BUY_888999,79,fix4,XAUUSDg,PERIOD_M5,SELL,0.11,0.00,2935.68,17.49,EA_CLOSE,
2025.02.11 01:53:17,OPEN,XAUUSDg_PERIOD_M5_20250211_0150_BUY_888999,80,fix4,XAUUSDg,PERIOD_M5,BUY,0.11,2936.00,0.00,0.00,,READY_TO_BREAKOUT
2025.02.11 02:02:53,CLOSE,XAUUSDg_PERIOD_M5_20250211_0150_BUY_888999,81,fix4,XAUUSDg,PERIOD_M5,SELL,0.11,0.00,2937.16,12.87,EA_CLOSE,
2025.02.11 02:02:54,OPEN,XAUUSDg_PERIOD_M5_20250211_0200_BUY_888999,82,fix4,XAUUSDg,PERIOD_M5,BUY,0.11,2937.91,0.00,0.00,,READY_TO_BREAKOUT
2025.02.11 02:12:55,CLOSE,XAUUSDg_PERIOD_M5_20250211_0200_BUY_888999,83,fix4,XAUUSDg,PERIOD_M5,SELL,0.11,0.00,2939.18,13.86,EA_CLOSE,
2025.02.11 02:12:56,OPEN,XAUUSDg_PERIOD_M5_20250211_0210_BUY_888999,84,fix4,XAUUSDg,PERIOD_M5,BUY,0.11,2939.85,0.00,0.00,,READY_TO_BREAKOUT
2025.02.11 02:13:39,CLOSE,XAUUSDg_PERIOD_M5_20250211_0210_BUY_888999,85,fix4,XAUUSDg,PERIOD_M5,SELL,0.11,0.00,2942.05,24.20,EA_CLOSE,
2025.02.11 02:13:39,OPEN,XAUUSDg_PERIOD_M5_20250211_0210_BUY_888999,86,fix4,XAUUSDg,PERIOD_M5,BUY,0.11,2942.61,0.00,0.00,,READY_TO_BREAKOUT
2025.02.11 02:40:17,OPEN,XAUUSDg_PERIOD_M5_20250211_0210_BUY_888999,87,fix4,XAUUSDg,PERIOD_M5,SELL,0.22,2905.01,0.00,0.00,,READY_TO_BREAKOUT
2025.02.14 08:20:29,OPEN,XAUUSDg_PERIOD_M5_20250211_0210_BUY_888999,88,fix4,XAUUSDg,PERIOD_M5,BUY,0.44,2938.45,0.00,0.00,,READY_TO_BREAKOUT
2025.02.14 15:22:48,OPEN,XAUUSDg_PERIOD_M5_20250211_0210_BUY_888999,89,fix4,XAUUSDg,PERIOD_M5,SELL,0.88,2905.05,0.00,0.00,,READY_TO_BREAKOUT
2025.02.18 12:46:01,CLOSE,XAUUSDg_PERIOD_M5_20250211_0210_BUY_888999,90,fix4,XAUUSDg,PERIOD_M5,BUY,0.88,0.00,2918.43,-1177.44,EA_CLOSE,
2025.02.18 12:46:01,CLOSE,XAUUSDg_PERIOD_M5_20250211_0210_BUY_888999,91,fix4,XAUUSDg,PERIOD_M5,SELL,0.44,0.00,2917.82,-908.16,EA_CLOSE,
2025.02.18 12:46:01,CLOSE,XAUUSDg_PERIOD_M5_20250211_0210_BUY_888999,92,fix4,XAUUSDg,PERIOD_M5,BUY,0.22,0.00,2918.45,-295.68,EA_CLOSE,
2025.02.18 12:46:01,CLOSE,XAUUSDg_PERIOD_M5_20250211_0210_BUY_888999,93,fix4,XAUUSDg,PERIOD_M5,SELL,0.11,0.00,2917.80,-273.02,EA_CLOSE,
2025.02.18 12:46:02,OPEN,XAUUSDg_PERIOD_M5_20250218_1245_BUY_888999,94,fix4,XAUUSDg,PERIOD_M5,BUY,0.08,2918.41,0.00,0.00,,READY_TO_BREAKOUT
