timestamp,setup_id,ea_version,symbol,timeframe,direction,bid,ask,spread_points,bar_time,breakout_level,lookback_bars,mindset,filter_decision,filter_reason,did_enter
2025.02.03 01:11:47,XAUUSDg_PERIOD_M5_20250203_0110_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,2782.51,2783.45,84,2025.02.03 01:10,2782.55,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.02.03 01:56:25,XAUUSDg_PERIOD_M5_20250203_0155_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,2780.49,2781.09,59,2025.02.03 01:55,2780.51,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.02.03 01:56:40,XAUUSDg_PERIOD_M5_20250203_0155_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,2778.25,2778.73,59,2025.02.03 01:55,2780.51,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.02.03 02:38:43,XAUUSDg_PERIOD_M5_20250203_0235_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,2775.42,2776.28,65,2025.02.03 02:35,2775.44,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.02.03 03:36:43,XAUUSDg_PERIOD_M5_20250203_0335_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,2773.34,2773.91,54,2025.02.03 03:35,2773.34,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.02.03 14:48:39,XAUUSDg_PERIOD_M5_20250203_1445_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,2823.78,2824.36,44,2025.02.03 14:45,2818.99,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.02.03 14:50:10,XAUUSDg_PERIOD_M5_20250203_1450_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,2826.24,2826.70,63,2025.02.03 14:50,2826.01,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.02.03 14:51:10,XAUUSDg_PERIOD_M5_20250203_1450_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,2828.56,2829.22,62,2025.02.03 14:50,2826.01,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.02.04 13:22:03,XAUUSDg_PERIOD_M5_20250204_1320_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,2830.51,2830.97,46,2025.02.04 13:20,2826.03,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.02.04 13:24:00,XAUUSDg_PERIOD_M5_20250204_1320_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,2832.45,2832.76,37,2025.02.04 13:20,2826.03,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.02.04 13:28:55,XAUUSDg_PERIOD_M5_20250204_1325_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,2833.95,2834.55,52,2025.02.04 13:25,2833.28,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.02.04 13:30:35,XAUUSDg_PERIOD_M5_20250204_1330_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,2835.34,2835.86,78,2025.02.04 13:30,2835.09,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.02.04 14:29:06,XAUUSDg_PERIOD_M5_20250204_1425_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,2836.95,2837.51,50,2025.02.04 14:25,2837.05,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.02.04 14:32:41,XAUUSDg_PERIOD_M5_20250204_1430_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,2838.70,2839.16,46,2025.02.04 14:30,2837.68,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
