date,time,dir,rsi,close,sl_pts,tp_pts,risk_usd,reward_usd,pnl,result,equity,daily_pnl
2025-04-28,14:15,SHORT,72.3,3347.78,3.47,27.75,25.0,200.0,-25.0,LOSS,49975.0,-25.0
2025-05-20,14:00,SHORT,72.0,3285.94,2.5,20.03,25.0,200.0,-25.0,LOSS,49950.0,-25.0
2025-05-20,14:30,SHORT,72.0,3287.28,2.24,17.95,25.0,200.0,-25.0,LOSS,49925.0,-50.0
2025-07-07,15:00,SHORT,71.0,3337.88,1.77,14.17,25.0,200.0,200.0,WIN,50125.0,200.0
2025-07-22,14:15,SHORT,70.1,3429.5,1.9,15.23,25.0,200.0,200.0,WIN,50325.0,200.0
2025-07-30,14:30,LONG,29.8,3288.78,2.41,19.29,25.0,200.0,-25.0,LOSS,50300.0,-25.0
2025-07-30,15:00,LONG,22.7,3275.08,2.54,20.35,25.0,200.0,200.0,WIN,50500.0,175.0
2025-08-01,14:30,SHORT,70.5,3350.65,1.86,14.92,25.0,200.0,-25.0,LOSS,50475.0,-25.0
2025-08-22,14:00,SHORT,71.8,3373.65,1.9,15.21,25.0,200.0,-25.0,LOSS,50450.0,-25.0
2025-09-02,14:00,SHORT,73.5,3528.95,2.5,19.99,25.0,200.0,-25.0,LOSS,50425.0,-25.0
2025-09-02,14:45,SHORT,71.6,3528.19,2.23,17.87,25.0,200.0,-25.0,LOSS,50400.0,-50.0
2025-09-03,14:00,SHORT,73.6,3577.98,2.09,16.73,25.0,200.0,200.0,WIN,50600.0,200.0
2025-09-17,14:45,LONG,27.7,3649.92,4.98,39.83,25.0,200.0,-25.0,LOSS,50575.0,-25.0
2025-09-19,14:00,SHORT,71.0,3679.58,1.99,15.89,25.0,200.0,-25.0,LOSS,50550.0,-25.0
2025-09-19,14:30,SHORT,72.5,3681.96,1.69,13.5,25.0,200.0,-25.0,LOSS,50525.0,-50.0
2025-09-19,15:00,SHORT,73.6,3683.42,1.55,12.39,25.0,200.0,-25.0,LOSS,50500.0,-75.0
2025-09-22,14:15,SHORT,70.0,3745.74,1.82,14.58,25.0,200.0,-25.0,LOSS,50475.0,-25.0
2025-09-22,15:00,SHORT,70.6,3747.34,1.51,12.07,25.0,200.0,-25.0,LOSS,50450.0,-50.0
2025-09-24,14:00,LONG,24.7,3730.02,2.86,22.91,25.0,200.0,-25.0,LOSS,50425.0,-25.0
2025-09-24,14:30,LONG,23.7,3728.12,2.74,21.88,25.0,200.0,-25.0,LOSS,50400.0,-50.0
2025-09-24,15:00,LONG,19.7,3720.16,2.63,21.02,25.0,200.0,200.0,WIN,50600.0,150.0
2025-10-20,14:15,SHORT,71.7,4357.35,4.0,32.02,25.0,200.0,-25.0,LOSS,50575.0,-25.0
2025-10-20,14:45,SHORT,72.1,4359.08,3.46,27.66,25.0,200.0,-25.0,LOSS,50550.0,-50.0
2025-10-29,14:30,LONG,28.6,3928.88,8.66,69.28,25.0,200.0,200.0,WIN,50750.0,200.0
2025-11-17,14:30,LONG,26.2,4019.28,4.91,39.3,25.0,200.0,-25.0,LOSS,50725.0,-25.0
2025-11-17,15:00,LONG,27.8,4016.2,5.46,43.65,25.0,200.0,200.0,WIN,50925.0,175.0
2026-01-22,14:00,SHORT,78.5,4923.77,5.46,43.72,25.0,200.0,-25.0,LOSS,50900.0,-25.0
2026-01-27,15:00,SHORT,70.4,5141.68,5.93,47.45,25.0,200.0,-25.0,LOSS,50875.0,-25.0
2026-03-12,14:00,LONG,24.4,5084.68,5.39,43.13,25.0,200.0,-25.0,LOSS,50850.0,-25.0
2026-03-18,14:45,LONG,29.4,4842.94,7.03,56.21,25.0,200.0,-25.0,LOSS,50825.0,-25.0
2026-03-20,14:00,LONG,27.5,4500.12,13.17,105.36,25.0,200.0,-25.0,LOSS,50800.0,-25.0
