date,time,dir,rsi,close,sl_pts,tp_pts,risk_usd,reward_usd,pnl,result,equity,daily_pnl
2025-05-05,14:30,SHORT,70.4,3322.88,3.8,30.36,25.0,200.0,-25.0,LOSS,49975.0,-25.0
2025-05-08,15:00,LONG,29.0,3291.72,6.82,54.53,25.0,200.0,-25.0,LOSS,49950.0,-25.0
2025-05-14,14:00,LONG,29.8,3177.1,6.42,51.33,25.0,200.0,-25.0,LOSS,49925.0,-25.0
2025-05-15,15:00,SHORT,70.5,3229.72,4.29,34.33,25.0,200.0,200.0,WIN,50125.0,200.0
2025-05-20,14:00,SHORT,74.9,3288.12,4.92,39.33,25.0,200.0,-25.0,LOSS,50100.0,-25.0
2025-06-02,14:00,SHORT,70.3,3371.85,4.15,33.17,25.0,200.0,-25.0,LOSS,50075.0,-25.0
2025-06-02,15:00,SHORT,73.1,3378.8,3.96,31.65,25.0,200.0,200.0,WIN,50275.0,175.0
2025-06-06,14:30,LONG,29.4,3317.26,5.34,42.74,25.0,200.0,200.0,WIN,50475.0,200.0
2025-07-21,14:00,SHORT,70.9,3394.26,2.92,23.37,25.0,200.0,-25.0,LOSS,50450.0,-25.0
2025-07-22,14:00,SHORT,73.9,3429.5,3.68,29.47,25.0,200.0,200.0,WIN,50650.0,200.0
2025-07-30,14:30,LONG,25.8,3280.02,4.36,34.85,25.0,200.0,-25.0,LOSS,50625.0,-25.0
2025-08-01,14:00,SHORT,70.9,3349.1,5.19,41.56,25.0,200.0,-25.0,LOSS,50600.0,-25.0
2025-08-29,14:00,SHORT,71.0,3444.6,3.21,25.69,25.0,200.0,-25.0,LOSS,50575.0,-25.0
2025-09-02,14:00,SHORT,73.1,3529.7,5.11,40.87,25.0,200.0,-25.0,LOSS,50550.0,-25.0
2025-09-03,14:00,SHORT,71.1,3574.38,3.78,30.27,25.0,200.0,200.0,WIN,50750.0,200.0
2025-09-22,14:00,SHORT,76.3,3745.74,3.54,28.34,25.0,200.0,-25.0,LOSS,50725.0,-25.0
2025-09-24,14:00,LONG,27.9,3728.98,3.83,30.68,25.0,200.0,-25.0,LOSS,50700.0,-25.0
2025-09-24,15:00,LONG,23.7,3718.15,3.96,31.64,25.0,200.0,200.0,WIN,50900.0,175.0
2025-10-21,14:00,LONG,26.5,4116.02,16.6,132.81,25.0,200.0,-25.0,LOSS,50875.0,-25.0
2025-11-10,14:00,SHORT,71.6,4114.24,4.95,39.59,25.0,200.0,-25.0,LOSS,50850.0,-25.0
2025-11-17,14:30,LONG,28.3,4011.02,7.93,63.41,25.0,200.0,200.0,WIN,51050.0,200.0
2025-11-24,14:00,SHORT,71.2,4118.8,5.71,45.66,25.0,200.0,-25.0,LOSS,51025.0,-25.0
2025-12-29,14:00,LONG,25.9,4330.28,11.92,95.37,25.0,200.0,-25.0,LOSS,51000.0,-25.0
2026-01-22,14:00,SHORT,73.0,4914.52,8.47,67.73,25.0,200.0,-25.0,LOSS,50975.0,-25.0
2026-01-28,15:00,SHORT,70.3,5354.4,15.84,126.7,25.0,200.0,200.0,WIN,51175.0,200.0
2026-02-23,15:00,SHORT,70.8,5224.94,8.98,71.84,25.0,200.0,200.0,WIN,51375.0,200.0
2026-03-12,14:00,LONG,28.8,5093.4,9.26,74.1,25.0,200.0,-25.0,LOSS,51350.0,-25.0
2026-03-12,15:00,LONG,24.5,5071.74,8.92,71.34,25.0,200.0,-25.0,LOSS,51325.0,-50.0
2026-03-18,14:00,LONG,28.0,4848.98,12.11,96.9,25.0,200.0,-25.0,LOSS,51300.0,-25.0
2026-03-20,14:00,LONG,28.9,4498.22,20.45,163.58,25.0,200.0,-25.0,LOSS,51275.0,-25.0
