entry_time,exit_time,direction,entry_price,exit_price,pnl,capital
2026-01-14 16:30:00,2026-01-14 20:30:00,SELL,4618.88,4631.577519216923,-100.0,9900.0
2026-01-15 03:15:00,2026-01-15 04:00:00,SELL,4600.47,4613.948894062697,-99.0,9801.0
2026-01-15 05:00:00,2026-01-15 08:00:00,SELL,4591.46,4607.189320720705,-98.01,9702.99
2026-01-15 12:30:00,2026-01-15 15:15:00,BUY,4617.95,4607.243388062639,-97.0299,9605.9601
2026-01-16 02:45:00,2026-01-16 07:45:00,SELL,4600.14,4608.79847392454,-96.059601,9509.900499
2026-01-16 15:15:00,2026-01-16 15:30:00,SELL,4587.15,4597.6521245387485,-95.09900499,9414.80149401
2026-01-16 17:15:00,2026-01-16 18:00:00,SELL,4564.96,4582.700168518817,-94.1480149401,9320.6534790699
2026-01-19 01:00:00,2026-01-20 06:30:00,BUY,4654.28,4692.393688688309,186.41306958139802,9507.066548651299
2026-01-20 16:00:00,2026-01-20 16:30:00,BUY,4740.83,4729.28719274578,-95.070665486513,9411.995883164785
2026-01-20 18:45:00,2026-01-21 02:30:00,BUY,4753.59,4783.789051996441,188.2399176632957,9600.23580082808
2026-01-21 15:30:00,2026-01-21 16:00:00,BUY,4877.23,4862.362566738601,-96.00235800828081,9504.2334428198
2026-01-21 16:45:00,2026-01-21 19:30:00,SELL,4852.0,4810.941612617048,190.08466885639598,9694.318111676195
2026-01-21 21:30:00,2026-01-21 22:15:00,SELL,4765.95,4796.444074798651,-96.94318111676195,9597.374930559434
2026-01-22 15:30:00,2026-01-22 16:15:00,SELL,4814.18,4826.886931333068,-95.97374930559434,9501.40118125384
2026-01-22 16:30:00,2026-01-22 17:00:00,BUY,4845.6,4831.793447500944,-95.0140118125384,9406.387169441301
2026-01-23 10:15:00,2026-01-23 12:15:00,SELL,4913.62,4929.326778389947,-94.06387169441301,9312.323297746889
2026-01-23 18:00:00,2026-01-26 01:00:00,BUY,4971.13,5007.803213236406,186.24646595493778,9498.569763701827
2026-01-26 15:15:00,2026-01-26 16:30:00,SELL,5072.33,5088.199134143087,-94.98569763701828,9403.58406606481
2026-01-26 21:15:00,2026-01-26 22:30:00,SELL,5027.84,5056.650778607214,-94.0358406606481,9309.548225404162
2026-01-27 07:45:00,2026-01-27 16:00:00,BUY,5082.98,5062.277995918532,-93.09548225404161,9216.45274315012
2026-01-27 18:00:00,2026-01-27 22:00:00,BUY,5095.1,5139.762121523119,184.3290548630024,9400.781798013122
2026-01-28 03:00:00,2026-01-28 05:00:00,BUY,5191.1,5236.234071034149,188.01563596026244,9588.797433973385
2026-01-28 21:45:00,2026-01-28 22:30:00,BUY,5325.44,5388.139013772251,191.7759486794677,9780.573382652852
2026-01-29 10:30:00,2026-01-29 11:30:00,SELL,5481.73,5519.415881242755,-97.80573382652852,9682.767648826324
2026-01-29 17:00:00,2026-01-29 17:15:00,SELL,5384.58,5288.799694866812,193.6553529765265,9876.42300180285
2026-01-29 22:45:00,2026-01-30 03:00:00,BUY,5394.46,5325.525863526766,-98.7642300180285,9777.658771784822
2026-01-30 04:00:00,2026-01-30 10:30:00,SELL,5214.14,5066.733263684654,195.55317543569643,9973.211947220518
2026-01-30 11:00:00,2026-01-30 12:45:00,SELL,5027.18,5101.866355554202,-99.73211947220518,9873.479827748313
2026-01-30 19:00:00,2026-01-30 20:15:00,SELL,4914.87,4760.609289306385,197.46959655496627,10070.949424303279
2026-02-02 07:30:00,2026-02-02 08:30:00,SELL,4576.15,4405.102020043766,201.4189884860656,10272.368412789345
2026-02-03 01:00:00,2026-02-03 03:15:00,BUY,4718.42,4834.936612395773,205.4473682557869,10477.815781045132
2026-02-03 08:15:00,2026-02-03 18:15:00,BUY,4871.59,4960.23267204837,209.55631562090264,10687.372096666035
2026-02-04 02:45:00,2026-02-04 16:30:00,BUY,5015.94,4974.51333376998,-106.87372096666036,10580.498375699375
2026-02-05 04:45:00,2026-02-05 05:15:00,SELL,4811.83,4864.043361486386,-105.80498375699375,10474.693391942381
2026-02-05 23:30:00,2026-02-06 02:00:00,SELL,4764.66,4685.4075462418095,209.49386783884762,10684.187259781229
2026-02-06 07:15:00,2026-02-06 15:30:00,BUY,4852.18,4936.447137061401,213.6837451956246,10897.871004976854
2026-02-09 01:00:00,2026-02-09 01:15:00,BUY,4980.03,5023.39842937667,217.9574200995371,11115.828425076392
2026-02-09 12:15:00,2026-02-09 13:45:00,SELL,4991.09,5015.214693703955,-111.15828425076393,11004.670140825629
2026-02-09 17:30:00,2026-02-10 01:00:00,BUY,5055.96,5033.279841357468,-110.04670140825628,10894.623439417372
2026-02-10 10:30:00,2026-02-10 14:30:00,BUY,5048.79,5029.591533664701,-108.94623439417371,10785.677205023198
2026-02-10 16:15:00,2026-02-10 16:45:00,BUY,5070.52,5050.473465131306,-107.85677205023198,10677.820432972965
2026-02-11 05:15:00,2026-02-11 12:30:00,BUY,5057.03,5092.604336631674,213.5564086594593,10891.376841632424
2026-02-12 16:45:00,2026-02-12 17:00:00,SELL,5044.45,5061.841434106195,-108.91376841632425,10782.4630732161
2026-02-12 18:00:00,2026-02-12 18:15:00,SELL,4951.87,4893.114546362409,215.64926146432202,10998.112334680422
2026-02-13 16:00:00,2026-02-13 16:30:00,BUY,4997.61,4975.384132864261,-109.98112334680422,10888.131211333617
2026-02-13 18:00:00,2026-02-16 07:00:00,BUY,4997.59,4969.804577999824,-108.88131211333618,10779.249899220282
2026-02-17 02:45:00,2026-02-17 03:00:00,SELL,4935.59,4950.615547538783,-107.79249899220282,10671.457400228079
2026-02-17 07:15:00,2026-02-17 09:30:00,SELL,4900.71,4919.8825235335335,-106.71457400228078,10564.742826225798
2026-02-17 15:45:00,2026-02-17 16:00:00,SELL,4870.78,4892.6562300868245,-105.64742826225799,10459.09539796354
